game,nLc0,nSF,Lc0,SF
1,73,72,0.22,0.3
1,73,72,0.25,0.24
1,73,72,0.25,0.37
1,73,72,0.03,0.25
1,73,72,0.01,0.49
1,73,72,0.01,0.59
1,73,72,0.01,0.25
1,73,72,0.01,0
1,73,72,-0.09,0
1,73,72,-0.09,0
1,73,72,-0.08,0
1,73,72,-0.06,0.23
1,73,72,-0.11,0
1,73,72,-0.1,0
1,73,72,-0.1,0
1,73,72,-0.2,0
1,73,72,-0.2,0
1,73,72,-0.18,0
1,73,72,-0.16,0
1,73,72,-0.16,0
1,73,72,-0.15,0
1,73,72,-0.29,0
1,73,72,-0.29,0
1,73,72,-0.27,0
1,73,72,-0.26,0
1,73,72,-0.27,0
1,73,72,-0.33,0
1,73,72,-0.33,0
1,73,72,-0.31,0
1,73,72,-0.37,0
1,73,72,-0.32,0
1,73,72,-0.33,0
1,73,72,-0.33,0
1,73,72,-0.3,0
1,73,72,-0.28,0
1,73,72,-0.23,0
1,73,72,-0.23,0
1,73,72,-0.23,0
1,73,72,-0.22,0
1,73,72,-0.22,0
1,73,72,-0.2,0
1,73,72,-0.17,0
1,73,72,-0.37,0
1,73,72,-0.29,0
1,73,72,-0.39,0
1,73,72,-0.3,0
1,73,72,-0.37,0
1,73,72,-0.23,0
1,73,72,-0.1,0
1,73,72,-0.09,0
1,73,72,-0.08,0
1,73,72,-0.06,0
1,73,72,-0.05,0
1,73,72,-0.06,0
1,73,72,-0.08,0
1,73,72,-0.06,0
1,73,72,-0.05,0
1,73,72,-0.04,0
1,73,72,-0.02,0
1,73,72,-0.06,0
1,73,72,-0.06,0
1,73,72,-0.05,0
1,73,72,-0.05,0
1,73,72,-0.04,0
1,73,72,-0.02,0
1,73,72,-0.01,0
1,73,72,-0.13,0
1,73,72,-0.09,0
1,73,72,-0.07,0
1,73,72,-0.06,0
1,73,72,-0.05,0
1,73,72,-0.04,0
2,38,38,0.24,-0.09
2,38,38,0.27,0
2,38,38,0.28,0
2,38,38,0.27,0
2,38,38,0.26,0
2,38,38,0.27,0
2,38,38,0.24,0
2,38,38,0.23,0
2,38,38,0.22,-0.17
2,38,38,0.44,-0.13
2,38,38,0.44,-0.13
2,38,38,0.34,0
2,38,38,0.39,0
2,38,38,0.26,0
2,38,38,0.16,0
2,38,38,0.14,0
2,38,38,0.13,0
2,38,38,0.12,0
2,38,38,0.11,0
2,38,38,0.11,0
2,38,38,0.1,0
2,38,38,0.1,0
2,38,38,0.09,0
2,38,38,0.09,0
2,38,38,0.09,0
2,38,38,0.06,0
2,38,38,0.06,0
2,38,38,0.07,0
2,38,38,0.06,0
2,38,38,0,0
2,38,38,0.05,0
2,38,38,0,0
2,38,38,0.02,0
2,38,38,0,0
2,38,38,0,0
2,38,38,0,0
2,38,38,0,0
2,38,38,0.07,0
3,47,47,1.35,1.22
3,47,47,1.28,1.02
3,47,47,1.23,1.3
3,47,47,1.25,1.36
3,47,47,1.25,1.33
3,47,47,1.26,1.34
3,47,47,1.27,1.47
3,47,47,1.27,1.38
3,47,47,1.27,1.77
3,47,47,1.32,1.75
3,47,47,1.34,1.75
3,47,47,1.41,2.04
3,47,47,1.35,1.86
3,47,47,1.44,1.89
3,47,47,1.51,2.09
3,47,47,1.54,2.07
3,47,47,1.6,2.27
3,47,47,1.61,2.39
3,47,47,1.7,2.28
3,47,47,1.71,4.62
3,47,47,2.29,5.5
3,47,47,2.61,6.42
3,47,47,2.56,6.77
3,47,47,2.56,7.24
3,47,47,2.52,7.71
3,47,47,2.44,7.92
3,47,47,2.43,7.98
3,47,47,2.46,8.06
3,47,47,0,8.34
3,47,47,2.47,8.31
4,101,100,1.36,0.92
4,101,100,1.39,0.47
4,101,100,1.44,0.8
4,101,100,1.5,0.98
4,101,100,1.52,1.01
4,101,100,1.64,1.53
4,101,100,1.95,1.52
4,101,100,2.02,1.34
4,101,100,2.06,1.44
4,101,100,2.09,1.76
4,101,100,2.2,1.86
4,101,100,2.21,1.7
4,101,100,2.1,1.99
4,101,100,2.34,2.01
4,101,100,2.36,2.02
4,101,100,2.39,2.47
4,101,100,2.4,2.46
4,101,100,2.34,2.84
4,101,100,2.39,2.73
4,101,100,2.42,2.88
4,101,100,2.48,3.09
4,101,100,2.45,3
4,101,100,2.42,2.98
