Opening;White;Black;points.White;points.Black;ECO1;plies;Leela.openeval;SF.openeval
1;SF;Leela;0.5;0.5;E73;13;0.79;1.01
2;Leela;SF;0.5;0.5;E73;13;1.28;0.43
3;SF;Leela;0.5;0.5;B84;30;0.42;0.72
4;Leela;SF;0.5;0.5;B84;30;0.43;0.32
5;SF;Leela;0.5;0.5;A80;3;0.81;0.56
6;Leela;SF;0.5;0.5;A80;3;0.84;0.24
7;SF;Leela;0.5;0.5;C37;8;-1.16;-0.36
8;Leela;SF;0.5;0.5;C37;8;-1.06;-1.05
9;SF;Leela;0.5;0.5;A60;6;1.2;0.83
10;Leela;SF;1;0;A67;6;1.17;0.34
11;SF;Leela;0.5;0.5;C05;17;0.35;0.52
12;Leela;SF;0;1;C05;17;0.38;0.09
13;SF;Leela;0.5;0.5;A30;22;0.58;0.95
14;Leela;SF;0.5;0.5;A30;22;0.72;0.36
15;SF;Leela;0.5;0.5;B06;8;1.3;1.01
16;Leela;SF;1;0;B06;8;1.38;0.61
17;SF;Leela;0.5;0.5;E97;22;1.1;1.43
18;Leela;SF;1;0;E97;22;1.57;0.72
19;SF;Leela;0.5;0.5;B69;13;0.66;0.62
20;Leela;SF;0.5;0.5;B69;13;0.68;0.19
21;SF;Leela;0.5;0.5;D31;14;0.66;0.53
22;Leela;SF;0.5;0.5;D31;14;0.7;0
23;SF;Leela;0.5;0.5;C92;24;0.91;0.98
24;Leela;SF;1;0;C92;24;1.1;0.21
25;SF;Leela;0.5;0.5;E15;21;0.88;0.73
26;Leela;SF;1;0;E15;21;0.9;0.32
27;SF;Leela;0.5;0.5;B01;4;1.1;0.75
28;Leela;SF;0.5;0.5;B01;4;1.13;0.42
29;SF;Leela;0.5;0.5;A50;4;0.95;0.66
30;Leela;SF;0.5;0.5;A50;4;0.98;0.33
31;SF;Leela;0.5;0.5;C52;17;-0.3;0
32;Leela;SF;0.5;0.5;C52;17;-0.31;-0.61
33;SF;Leela;0.5;0.5;E83;12;0.73;0.74
34;Leela;SF;0.5;0.5;E84;12;0.79;0.24
35;SF;Leela;1;0;B90;22;0.99;0.79
36;Leela;SF;1;0;B90;22;1;0.32
37;SF;Leela;0.5;0.5;A21;16;0.73;0.68
38;Leela;SF;1;0;A21;16;0.75;0
39;SF;Leela;1;0;C19;16;1.41;0.96
40;Leela;SF;1;0;C19;16;1.5;0.57
41;SF;Leela;0.5;0.5;E94;8;1.15;0.8
42;Leela;SF;0.5;0.5;A55;8;1.18;0.66
43;SF;Leela;1;0;C57;10;1.37;0.8
44;Leela;SF;0.5;0.5;C57;10;1.42;0.65
45;SF;Leela;1;0;A50;6;0.83;0.68
46;Leela;SF;0.5;0.5;A50;6;0.84;0.41
47;SF;Leela;0.5;0.5;B12;16;0.55;0.75
48;Leela;SF;0.5;0.5;B12;16;0.62;0
49;SF;Leela;0.5;0.5;E92;17;0.84;0.97
50;Leela;SF;0.5;0.5;E92;17;0.86;0.27
51;SF;Leela;0.5;0.5;B21;15;-0.86;-0.64
52;Leela;SF;0.5;0.5;B21;15;-0.78;-0.94
53;SF;Leela;0.5;0.5;A92;10;0.99;0.86
54;Leela;SF;0.5;0.5;A92;10;1.02;0.52
55;SF;Leela;0.5;0.5;B06;6;1.25;0.92
56;Leela;SF;0.5;0.5;B06;6;1.27;0.5
57;SF;Leela;0.5;0.5;A77;22;1.13;1.14
58;Leela;SF;0.5;0.5;A77;22;1.11;0.49
59;SF;Leela;0.5;0.5;C21;9;-1.21;-0.27
60;Leela;SF;0.5;0.5;C21;9;-0.64;-0.76
61;SF;Leela;0;1;A45;13;0.74;0.95
62;Leela;SF;1;0;A45;13;0.83;0.28
63;SF;Leela;0.5;0.5;C03;15;0.72;0.54
64;Leela;SF;0.5;0.5;C03;15;0.68;0.16
65;SF;Leela;0.5;0.5;E71;13;0.71;0.79
66;Leela;SF;0.5;0.5;E71;13;0.71;0.37
67;SF;Leela;0.5;0.5;B48;18;0.83;0.82
68;Leela;SF;0.5;0.5;B48;18;0.96;0.28
69;SF;Leela;0.5;0.5;D43;24;0.54;0.49
70;Leela;SF;0.5;0.5;D43;24;0.57;0
71;SF;Leela;0.5;0.5;C25;6;-0.76;0
72;Leela;SF;0.5;0.5;C25;6;-0.77;-0.81
73;SF;Leela;0.5;0.5;A59;12;1.51;1
74;Leela;SF;0.5;0.5;A58;12;1.53;0.52
75;SF;Leela;0.5;0.5;B07;9;0.77;0.77
76;Leela;SF;0.5;0.5;B07;9;1.1;0.32
77;SF;Leela;0.5;0.5;C50;0;0.34;0.62
78;Leela;SF;0.5;0.5;E06;0;0.37;0
79;SF;Leela;0.5;0.5;C75;10;0.76;0.76
80;Leela;SF;0.5;0.5;C75;10;0.77;0.3
81;SF;Leela;1;0;E87;12;0.99;0.81
82;Leela;SF;1;0;E88;12;1.04;0.51
83;SF;Leela;0.5;0.5;B76;28;0.67;0.58
84;Leela;SF;0.5;0.5;B76;28;1.18;0.38
85;SF;Leela;0.5;0.5;A89;14;1.58;0.94
86;Leela;SF;1;0;A89;14;1.6;0.42
87;SF;Leela;1;0;A42;6;0.82;0.69
88;Leela;SF;1;0;E94;6;0.85;0.17
89;SF;Leela;0.5;0.5;A61;19;1.25;0.97
90;Leela;SF;0.5;0.5;A61;19;1.16;0.48
91;SF;Leela;0.5;0.5;C33;7;-1.01;-0.22
92;Leela;SF;0.5;0.5;C33;7;-0.94;-0.94
93;SF;Leela;0.5;0.5;D02;4;0.96;0.74
94;Leela;SF;1;0;D02;4;0.98;0.39
95;SF;Leela;0.5;0.5;C13;11;0.64;0.51
96;Leela;SF;0.5;0.5;C13;11;0.61;0
97;SF;Leela;0.5;0.5;E98;20;0.55;1.16
98;Leela;SF;0.5;0.5;E98;20;0.58;0.56
99;SF;Leela;0.5;0.5;B45;14;1.17;0.96
100;Leela;SF;0.5;0.5;B45;14;1.54;0.5
